"Year","Gender","Age at diagnosis","Geography type","Geography code","Geography name ","Deprivation","Stage","NDRS main","NDRS detailed","Count","Type of rate","Rate","95% lower confidence interval","95% upper confidence interval","Flag"
2013,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","26","Non-standardised","1.1","0.7","1.6",NA
2013,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","26","Age-standardised","1.1","0.7","1.6",NA
2013,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","46","Non-standardised","2","1.5","2.7",NA
2013,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","46","Age-standardised","2.2","1.6","2.9",NA
2014,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","26","Non-standardised","1.1","0.7","1.6",NA
2014,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","26","Age-standardised","1.1","0.7","1.6",NA
2014,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","47","Non-standardised","2.1","1.5","2.7",NA
2014,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","47","Age-standardised","2.1","1.6","2.8",NA
2015,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","36","Non-standardised","1.5","1.1","2.1",NA
2015,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","36","Age-standardised","1.5","1.1","2.1",NA
2015,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","41","Non-standardised","1.8","1.3","2.4",NA
2015,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","41","Age-standardised","1.9","1.4","2.6",NA
2016,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","35","Non-standardised","1.5","1","2",NA
2016,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","35","Age-standardised","1.5","1","2",NA
2016,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","40","Non-standardised","1.7","1.2","2.3",NA
2016,"Males","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","40","Age-standardised","1.8","1.3","2.5",NA
2017,"Females","All ages","Government Office Region","E12000004","East Midlands","All quintiles","All stages","Brain","Benign endocrine","26","Non-standardised","1.1","0.7","1.6",NA
